Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country
Arsenal ,Arsenal,London ,Emirates Stadium ,60361,51.555,-0.108611,England
A.F.C. Bournemouth,Bournemouth,Bournemouth,Goldsands Stadium,12000,50.735277,-1.83833,England
Chelsea ,Chelsea,London ,Stamford Bridge ,42449,51.481667,-0.191111,England
Everton ,Everton,Liverpool ,Goodison Park ,40157,53.438889,-2.966389,England
Liverpool ,Liverpool,Liverpool ,Anfield ,45276,53.430819,-2.960828,England
Manchester City ,Man City,Manchester ,Etihad Stadium,47405,53.482989,-2.200292,England
Manchester United ,Man United,Stretford ,Old Trafford ,75811,53.463056,-2.291389,England
Stoke City ,Stoke,Stoke-on-Trent ,Britannia Stadium ,27740,52.988333,-2.175556,England
Sunderland ,Sunderland,Sunderland ,Stadium of Light ,48707,54.9144,-1.3882,England
Swansea City ,Swansea,Swansea ,Liberty Stadium ,20520,51.6422,-3.9351,England
Tottenham Hotspur ,Tottenham,London ,White Hart Lane ,36230,51.603333,-0.065833,England
West Bromwich Albion ,West Brom,West Bromwich ,The Hawthorns ,27877,52.509167,-1.963889,England
Burnley ,Burnley,Burnley ,Turf Moor ,22546,53.789167,-2.230278,England
Crystal Palace ,Crystal Palace,London ,Selhurst Park ,26309,51.398333,-0.085556,England
Hull City ,Hull,Kingston upon Hull ,KC Stadium ,25404,53.746111,-0.367778,England
Leicester City ,Leicester,Leicester ,King Power Stadium ,32500,52.620278,-1.142222,England
Middlesbrough ,Middlesbrough,Middlesbrough ,Riverside Stadium ,34988,54.578333,-1.216944,England
Southampton ,Southampton,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111,England
Watford ,Watford,Watford ,Vicarage Road ,23500,51.649836,-0.401486,England
West Ham United ,West Ham,London ,Boleyn Ground ,35303,51.531944,0.039444,England
